Date : 2023-11-09 09:04:35
Directory : c:\laragon\www\market_place\resources
Total : 63 files,  15257 codes, 157 comments, 779 blanks, all 16193 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| XML        |          3 |      9,026 |         12 |          3 |      9,041 |
| Vue        |         37 |      3,198 |         77 |        307 |      3,582 |
| CSS        |          6 |      2,602 |         19 |        366 |      2,987 |
| JavaScript |         14 |        391 |         38 |         94 |        523 |
| PHP        |          1 |         32 |          0 |          3 |         35 |
| SCSS       |          2 |          8 |         11 |          6 |         25 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                   |         63 |     15,257 |        157 |        779 |     16,193 |
| css                                                                                                 |         16 |     11,912 |         41 |        417 |     12,370 |
| css (Files)                                                                                         |          1 |          0 |          0 |          1 |          1 |
| css\bootstrap                                                                                       |          2 |          3 |          8 |          2 |         13 |
| css\bootstrap\css                                                                                   |          1 |          2 |          3 |          1 |          6 |
| css\bootstrap\js                                                                                    |          1 |          1 |          5 |          1 |          7 |
| css\css                                                                                             |          3 |      2,599 |         12 |        364 |      2,975 |
| css\fonts                                                                                           |          4 |      9,027 |         16 |          3 |      9,046 |
| css\js                                                                                              |          6 |        283 |          5 |         47 |        335 |
| css\js (Files)                                                                                      |          4 |         83 |          5 |         33 |        121 |
| css\js\confetti                                                                                     |          2 |        200 |          0 |         14 |        214 |
| js                                                                                                  |         44 |      3,305 |        105 |        353 |      3,763 |
| js (Files)                                                                                          |          2 |         15 |         22 |          9 |         46 |
| js\Components                                                                                       |          6 |        500 |         26 |         46 |        572 |
| js\Components\Header                                                                                |          6 |        500 |         26 |         46 |        572 |
| js\Components\Header (Files)                                                                        |          1 |         98 |          5 |         13 |        116 |
| js\Components\Header\Comps                                                                          |          5 |        402 |         21 |         33 |        456 |
| js\Pages                                                                                            |         31 |      2,698 |         51 |        261 |      3,010 |
| js\Pages (Files)                                                                                    |          3 |        462 |          1 |         15 |        478 |
| js\Pages\Auth                                                                                       |          5 |        200 |          8 |         39 |        247 |
| js\Pages\Private                                                                                    |         18 |      1,626 |         37 |        164 |      1,827 |
