"filename", "language", "PHP", "SCSS", "JavaScript", "CSS", "XML", "Vue", "comment", "blank", "total"
"c:\laragon\www\market_place\app\Http\Controllers\AdresseController.php", "PHP", 36, 0, 0, 0, 0, 0, 0, 14, 50
"c:\laragon\www\market_place\app\Http\Controllers\Auth\ConfirmPasswordController.php", "PHP", 14, 0, 0, 0, 0, 0, 20, 7, 41
"c:\laragon\www\market_place\app\Http\Controllers\Auth\ForgotPasswordController.php", "PHP", 8, 0, 0, 0, 0, 0, 10, 5, 23
"c:\laragon\www\market_place\app\Http\Controllers\Auth\LoginController.php", "PHP", 14, 0, 0, 0, 0, 0, 20, 7, 41
"c:\laragon\www\market_place\app\Http\Controllers\Auth\RegisterController.php", "PHP", 33, 0, 0, 0, 0, 0, 32, 9, 74
"c:\laragon\www\market_place\app\Http\Controllers\Auth\ResetPasswordController.php", "PHP", 10, 0, 0, 0, 0, 0, 15, 6, 31
"c:\laragon\www\market_place\app\Http\Controllers\Auth\VerificationController.php", "PHP", 16, 0, 0, 0, 0, 0, 20, 7, 43
"c:\laragon\www\market_place\app\Http\Controllers\Controller.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 4, 13
"c:\laragon\www\market_place\app\Http\Controllers\Paiement.php", "PHP", 6, 0, 0, 0, 0, 0, 1, 4, 11
"c:\laragon\www\market_place\app\Http\Controllers\PaiementCtr.php", "PHP", 6, 0, 0, 0, 0, 0, 1, 4, 11
"c:\laragon\www\market_place\app\Http\Controllers\TestPaiementCtr.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 5, 17
"c:\laragon\www\market_place\app\Http\Controllers\aboutController.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 4, 14
"c:\laragon\www\market_place\app\Http\Controllers\accountController.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 7, 30
"c:\laragon\www\market_place\app\Http\Controllers\achatsController.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 5, 17
"c:\laragon\www\market_place\app\Http\Controllers\articlesController.php", "PHP", 54, 0, 0, 0, 0, 0, 7, 10, 71
"c:\laragon\www\market_place\app\Http\Controllers\articlesManagmentController.php", "PHP", 16, 0, 0, 0, 0, 0, 52, 11, 79
"c:\laragon\www\market_place\app\Http\Controllers\authenticationController.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 7, 38
"c:\laragon\www\market_place\app\Http\Controllers\boutiquesController.php", "PHP", 60, 0, 0, 0, 0, 0, 2, 11, 73
"c:\laragon\www\market_place\app\Http\Controllers\buyingController.php", "PHP", 6, 0, 0, 0, 0, 0, 1, 4, 11
"c:\laragon\www\market_place\app\Http\Controllers\commandesController.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 4, 15
"c:\laragon\www\market_place\app\Http\Controllers\contactController.php", "PHP", 29, 0, 0, 0, 0, 0, 11, 8, 48
"c:\laragon\www\market_place\app\Http\Controllers\dashboardController.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 4, 14
"c:\laragon\www\market_place\app\Http\Controllers\detailsController.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 7, 36
"c:\laragon\www\market_place\app\Http\Controllers\fournisseursController.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 4, 15
"c:\laragon\www\market_place\app\Http\Controllers\homeController.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 4, 17
"c:\laragon\www\market_place\app\Http\Controllers\homepageController.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 4, 14
"c:\laragon\www\market_place\app\Http\Controllers\profileController.php", "PHP", 31, 0, 0, 0, 0, 0, 3, 13, 47
"c:\laragon\www\market_place\app\Http\Controllers\promotionsController.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 4, 14
"c:\laragon\www\market_place\app\Http\Controllers\sellingController.php", "PHP", 6, 0, 0, 0, 0, 0, 1, 4, 11
"c:\laragon\www\market_place\app\Http\Controllers\test.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 4, 15
"c:\laragon\www\market_place\app\Http\Controllers\userController.php", "PHP", 34, 0, 0, 0, 0, 0, 0, 13, 47
"c:\laragon\www\market_place\app\Http\Controllers\ventesController.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 4, 15
"c:\laragon\www\market_place\app\Http\Kernel.php", "PHP", 42, 0, 0, 0, 0, 0, 21, 7, 70
"c:\laragon\www\market_place\app\Http\Middleware\Authenticate.php", "PHP", 11, 0, 0, 0, 0, 0, 3, 4, 18
"c:\laragon\www\market_place\app\Http\Middleware\EncryptCookies.php", "PHP", 8, 0, 0, 0, 0, 0, 6, 4, 18
"c:\laragon\www\market_place\app\Http\Middleware\HandleInertiaRequests.php", "PHP", 17, 0, 0, 0, 0, 0, 21, 6, 44
"c:\laragon\www\market_place\app\Http\Middleware\PreventRequestsDuringMaintenance.php", "PHP", 8, 0, 0, 0, 0, 0, 6, 4, 18
"c:\laragon\www\market_place\app\Http\Middleware\RedirectIfAuthenticated.php", "PHP", 20, 0, 0, 0, 0, 0, 5, 6, 31
"c:\laragon\www\market_place\app\Http\Middleware\TrimStrings.php", "PHP", 11, 0, 0, 0, 0, 0, 5, 4, 20
"c:\laragon\www\market_place\app\Http\Middleware\TrustHosts.php", "PHP", 12, 0, 0, 0, 0, 0, 5, 4, 21
"c:\laragon\www\market_place\app\Http\Middleware\TrustProxies.php", "PHP", 14, 0, 0, 0, 0, 0, 10, 5, 29
"c:\laragon\www\market_place\app\Http\Middleware\ValidateSignature.php", "PHP", 8, 0, 0, 0, 0, 0, 11, 4, 23
"c:\laragon\www\market_place\app\Http\Middleware\VerifyCsrfToken.php", "PHP", 8, 0, 0, 0, 0, 0, 6, 4, 18
"c:\laragon\www\market_place\app\Http\Requests\AdresseRequest.php", "PHP", 36, 0, 0, 0, 0, 0, 8, 10, 54
"c:\laragon\www\market_place\app\Http\Requests\accountRequest.php", "PHP", 18, 0, 0, 0, 0, 0, 8, 5, 31
"c:\laragon\www\market_place\app\Http\Requests\account_request_step1.php", "PHP", 26, 0, 0, 0, 0, 0, 8, 6, 40
"c:\laragon\www\market_place\app\Http\Requests\account_request_step2.php", "PHP", 26, 0, 0, 0, 0, 0, 8, 6, 40
"c:\laragon\www\market_place\app\Http\Requests\articlesManagmentRequest.php", "PHP", 34, 0, 0, 0, 0, 0, 9, 9, 52
"c:\laragon\www\market_place\app\Http\Requests\boutiqueRequest.php", "PHP", 17, 0, 0, 0, 0, 0, 8, 5, 30
"c:\laragon\www\market_place\app\Http\Requests\caracteristiqueRequest.php", "PHP", 28, 0, 0, 0, 0, 0, 8, 7, 43
"c:\laragon\www\market_place\app\Http\Requests\contactRequest.php", "PHP", 23, 0, 0, 0, 0, 0, 8, 6, 37
"c:\laragon\www\market_place\app\Http\Requests\imageRequest.php", "PHP", 25, 0, 0, 0, 0, 0, 8, 6, 39
"c:\laragon\www\market_place\app\Http\Requests\loginRequest.php", "PHP", 25, 0, 0, 0, 0, 0, 8, 6, 39
"c:\laragon\www\market_place\app\Http\Requests\updateBoutiqueRequest.php", "PHP", 38, 0, 0, 0, 0, 0, 8, 11, 57
"c:\laragon\www\market_place\app\Http\Requests\userRequest.php", "PHP", 38, 0, 0, 0, 0, 0, 9, 13, 60
"c:\laragon\www\market_place\app\Http\Requests\validUser.php", "PHP", 18, 0, 0, 0, 0, 0, 8, 5, 31
"c:\laragon\www\market_place\resources\css\app.css", "CSS", 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\laragon\www\market_place\resources\css\bootstrap\css\bootstrap.min.css", "CSS", 0, 0, 0, -2, 0, 0, -3, -1, -6
"c:\laragon\www\market_place\resources\css\bootstrap\js\bootstrap.min.js", "JavaScript", 0, 0, -1, 0, 0, 0, -5, -1, -7
"c:\laragon\www\market_place\resources\css\css\animate.min.css", "CSS", 0, 0, 0, -1579, 0, 0, -6, -158, -1743
"c:\laragon\www\market_place\resources\css\css\bs-theme-overrides.css", "CSS", 0, 0, 0, -38, 0, 0, 0, -4, -42
"c:\laragon\www\market_place\resources\css\css\styles.css", "CSS", 0, 0, 0, -982, 0, 0, -6, -202, -1190
"c:\laragon\www\market_place\resources\css\fonts\fa-brands-400.svg", "XML", 0, 0, 0, 0, -3531, 0, -4, -1, -3536
"c:\laragon\www\market_place\resources\css\fonts\fa-regular-400.svg", "XML", 0, 0, 0, 0, -799, 0, -4, -1, -804
"c:\laragon\www\market_place\resources\css\fonts\fa-solid-900.svg", "XML", 0, 0, 0, 0, -4696, 0, -4, -1, -4701
"c:\laragon\www\market_place\resources\css\fonts\fontawesome-all.min.css", "CSS", 0, 0, 0, -1, 0, 0, -4, 0, -5
"c:\laragon\www\market_place\resources\css\js\bootstrap.min.js", "JavaScript", 0, 0, -1, 0, 0, 0, -5, -1, -7
"c:\laragon\www\market_place\resources\css\js\bs-init.js", "JavaScript", 0, 0, -11, 0, 0, 0, 0, -2, -13
"c:\laragon\www\market_place\resources\css\js\confetti\confetti.js", "JavaScript", 0, 0, -199, 0, 0, 0, 0, -14, -213
"c:\laragon\www\market_place\resources\css\js\confetti\confetti.min.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\laragon\www\market_place\resources\css\js\livereload.js", "JavaScript", 0, 0, -65, 0, 0, 0, 0, -30, -95
"c:\laragon\www\market_place\resources\css\js\popover.js", "JavaScript", 0, 0, -6, 0, 0, 0, 0, 0, -6
"c:\laragon\www\market_place\resources\js\Components\Header\Comps\Dropdown-menu-computer-version.vue", "Vue", 0, 0, 0, 0, 0, -57, -7, -11, -75
"c:\laragon\www\market_place\resources\js\Components\Header\Comps\Menu.vue", "Vue", 0, 0, 0, 0, 0, -190, -9, -22, -221
